mã,so_seed,bleu_mean,bleu_std,chrf_mean
improved,1,29.740954664240974,,48.72963817664526
vanilla,0,,,
a1,0,,,
a2,0,,,
a3,0,,,
a4,0,,,
a5,0,,,
a6,0,,,
